ai,apple,big,company,digital,elon,future,government,heres,just,million,new,plans,startup,tech,technology,time,use,sentiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,very negative
0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,negative
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,positive
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,positive
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,neutral
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,negative
0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,positive
0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,positive
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,very positive
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,very negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,neutral
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,very positive
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,positive
1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,very positive
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,very positive
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very negative
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,neutral
1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,very negative
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,negative
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,very positive
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,very negative
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,very positive
0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,negative
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,negative
1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,negative
0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,very positive
0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,neutral
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,very negative
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,very negative
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,negative
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,positive
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,very positive
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,very positive
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,neutral
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,very negative
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,negative
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,very negative
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,negative
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,very negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,very positive
0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,negative
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very positive
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,negative
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,very positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,positive
